id,title,story
5001279,Booloominbah,Booloominbah is a grand mansion designed by the architect John Horbury Hunt for the wealthy pastoral White family. Now open to the public for refreshments you can view Armidale from these refined surroundings over a glass of wine or a reasonably priced meal. Booloominbah is a stop on the Armidale heritage drive.
5001284,Lady Denman (M.V.),"This beautiful ferry boat which plied inner Sydney Harbour for 67 years has now returned to where she was built to be restored. The Lady Denman is the focus of a museum in Huskisson, an old boat building area, and the museum displays traditional boat building methods as well as exhibitions about Aboriginal, European and maritime heritage. Outside you can follow the Mangrove Boardwalk and learn about coastal ecosystems. A native garden is under continual development. The museum also contains the Bidjigal Arts and Crafts shop, allowing you to view and purchase Aboriginal creations by Laddy Timbery and his family. All in all, here you will find something for everyone!"
5001289,St. Patrick's Church,
5001346,"Towrang Convict Stockade, Associated Sites and Road Formations",
5001370,Goulburn Court House and Residence,"Since Goulburn was the largest town in the district, this court house built in 1881 was both local and district courts as well as supreme court. Designed by respected Governmnet Architect James Barnet, the court house today stands grandly over the Montague Streetscape. It is one of the most spectacular court houses in New South Wales. Internal access is limited, but a glimpse of this building and a stroll around the grounds will not disappoint."
5001478,Lord Howe Island Group,"Lord Howe Isle - the last paradise. A tiny treasure rising out of the emptiness of the southern Pacific Ocean and part of the Australian state of New South Wales, Lord Howe Island is one of the world's last truly unspoiled island destinations. Just 11 kilometres long and 2 kilometres wide, two thirds of its land mass is covered by Banyan, Pandanus and native Kentia Palm forests. Its many perfect beaches are safe, pristine and tranquil. Guided and self-guided bush treks, fish feeding at Ned's Beach, bicycling, bird watching tours, cruising around the Island, kayaking, reef walking, snorkelling, scuba diving or just laying around in a world class world heritage environment, are some of the favourite things to do. With crystal waters abounding in marine life of over 400 species of fish and 90 species of coral - 4% unique to the island - the island waters are perfect for snorkelling, scuba diving, and fishing. There are 18 options for accommodation from budget to 5 stars. Cafes and restaurants are available for those who don't want to self-cater and general  stores for those who do. World heritage listed in 1982 for its rare collection of flora, fauna and marine life and only one of four island groups in the world to have this listing, Lord Howe is the perfect sanctuary for nature-lovers, adventure seekers (try the 8 hour rope-assisted climb up Mount Gower), romantic getaways and ""stress-breaker"" weekends. Temperatures range from about 28 degrees celsius in summer with lows of about 13 degrees in winter. July, August and September can sometimes be windy. Take a two hour flight with QantasLink direct from Sydney or Brisbane with national and international Qantas connections."
5011929,Bethungra Spiral,This section of railway on the Sydney to Melbourne line is an engineering feat constructed in the 1940s to allow rail engines to negotiate the steep slope. The Bethungra Spiral goes through two tunnels and over the top of the hill through a deep cutting at the spur.
5011932,Blayney Railway Station and yard group,Travel through the historic Blayney Railway Station on a heritage express tour or stop and admire the landmark station on your way through town.
5011934,Bombala Railway Station and yard group,See working displays of restored historical engines and other artefacts from the district's rural past. You can enhance the experience by taking a CountryLink train to the station.
5011943,Austinmer Railway Station group,"Set between beautiful blue waters with golden sand and the dramatic, forested mountains, Austinmer is a destination in itself, made all the more special when you arrive by train. Built in 1887, the Railway Station is of a simple timber design, in keeping with the casual beach atmosphere of the town."
5011952,Bowral Railway Station group,Travel through the historic Bowral Railway Station on a Heritage Express tour or stop and admire the landmark station on your way through town.
5011956,Broken Hill Railway Station and yard group,"The railway station, now a museum, was erected in 1905 from sandstone quarried from the Block 114 Mine Lease, replacing the original timber and iron station built in 1888. The Comet train engine is now also housed in the museum. See and imagine what it was really like in it hey-day!"
5011960,Burwood Railway Station group,"Stand for a moment, as the commuters rush past you, and take in the heritage of Burwood Railway Station. Note the alignment of the Parcel Office showing the original route of the tracks."
5011968,Carcoar Railway Station group,"Carcoar, surveyed in 1838, was the first rural town beyond Bathurst. Classified by the National Trust, it is an excellent collection of historic buildings lovingly restored and preserved in a picturesque setting nestled amongst hills. A brochure that contains a map and information about the buildings is available from the Orange Visitors Centre and most places in Carcoar."
5011969,Casino Railway Station and yard group,"The Casino Railway Museum can be visited on Sunday by taking the Casino Mini Railway. The Mini Rail offers a 25 minute ride on miniature trains which meander through the Jabiru Wetlands and stop at the old Railway Museum, which houses memorabilia from the early days when Casino was known as a railway town."
5011971,Circular Quay Railway Station group,"When you visit Circular Quay you will no doubt notice the train station elevated above the ground. This was one of the first to have the administration and ticketing buildings below the platform, rather than on it. If you catch the train you will be able to admire some of the best and most spectacular views of the Sydney Harbour Bridge, Opera House and the harbour from the platform."
5011974,Cooma Railway Station and yard group,"The CMR is an established tourist railway based at Cooma Station in southern New South Wales. As the gateway to the Snowy Mountains area, Cooma was the destination for for almost 100 years of rail services, until the line from Canberra was closed by flood damage to the bridge over the Numeralla River. For 10 years there were no trains to be seen in the Monaro area, until the CMR commenced operations in December 1998. The full run is to Chakola, some 19 kilometers from Cooma on the banks of the Numeralla River."
5011979,Cowra Railway Station and yard group,"Heritage Express Rail Journeys run steam train tours that pass through the Cowra Railway Station. Visit their website for more information or if you are travelling through Cowra, stop and take a walk along the platforms."
5011980,Cronulla Railway Station group,"When you take a trip to famous Cronulla beach by train, stand and admire the Art Deco architecture before enjoying the sun, surf and sand. The Cronulla Railway Station is widely known as one of the best 1930s railway stations. You can also visit the Cronulla Sand Dune and Wanda Beach Coastal Landscape, also listed on the State Heritage Register."
5011981,Crookwell Railway Station and yard group,"A group of enthusiasts is currently proposing to convert the rail line into a bike and hiking trail. While not open yet, it may be by the time of your visit. Check their website for details."
5011982,Croydon Railway Station Group,"The Croydon Railway Station will give you a glimpse of Croydon in the past when all the stations on the line were planted with palms. The Croydon Railway is a charming, eclectic mix of buildings from the 1890s to the 1930s, sure to please rail enthusiasts."
5011986,Demondrille Junction railway ruins and signal box,Demondrille Junction was part of the vital link between the inland wheat producing districts and sea transportation. This important triangular Junction was the first (1885) of its type in the Colony.
5012003,Emu Plains Railway Station group,"Take a drive through the historic Penrith Valley and walk in the footsteps of our pioneering settlers. The Penrith Valley Heritage Drive covers both urban and rural areas and includes heritage sites from St Marys, Penrith, Castlereagh, Emu Plains and Mulgoa.  Built in 1883 the Emu Plains Railway Station is a substantial three story building constructed of bricks and sandstone. Emu Plains Station was known as the gateway to the Blue Mountains and played a central role in the expansion of the Nepean area.   This building replaced a smaller station that was completed in 1868 located west of Old Bathurst Road."
5012009,Finley Railway Precinct,"A railway station on a budget! Finley Station was built with minimal expenditure and is now being restored with about the same amount of funding. Visit the museum that describes how building a railway line without stone ballast, fences and fancy stations opened up rail travel to rural New South Wales in the 1890s."
5012020,Glen Innes Railway Station group,"As you travel by train from Armidale north, the Glen Innes Railway Station adds to the nostalgia of the Northern Tablelands line. Together with the other stations on the line, Glen Innes was built in the Victorian era, giving a sense of what it was like to travel in the 1880s. Heritage Express runs heritage train journeys along this line."
5012021,Gordon Railway Station,"You will be taken with the charm of the 1890 Gordon Railway Station, whether travelling past, through or alighting from the train. One of the most intact surviving in northern Sydney, you can still see much of the original detailing and facilities. Much of the signalling equipment and communications equipment are still in use today."
5012022,"Goulburn Railway Station, yard group and movable relics",Goulburn Roundhouse Preservation Society in the  Goulburn Rail Heritage Centre offers you to the opportunity to examine: *  Heritage Rail Workshop (open for inspection)  *  Steam Locomotive. Veteran Diesel locomotives and rolling stock under restoration. *  Roundhouse opened 1918.  Closed by State Rail 1986 services all classes of steam locomotives.
5012023,Goulburn Viaduct (Mulwaree Ponds),"The walk follows a route which links points of scenic, cultural and historical interest. It is approximately 18 kilometres long and can be comfortably completed in about 6 hours. Marsden Weir Park and O'Brien Park provide parking, public toilets, barbecue and picnic facilities and grassed areas. Maps are available from the Visitor Information Centre. The trail links with the Governor Macquarie historic walking trail that will take you past landmarks such as: Old Goulburn Brewery, Lansdown Park and Synagogue, railway station, Blackshaw Wells, Rocky Hill Memorial and the state heritage listed railway viaduct. The railway viaduct, or bridge, is composed of beautifully proportioned arches and complements the scenery."
5012041,Burrinjuck Dam,"Burrinjuck Dam gives its name to the Burrinjuck Waters State Park. The park and dam provide a stunning setting for bushwalking, camping, water sports or just relaxing in a beautiful natural setting. Burrinjuck Dam was the first of its type, providing water to irrigation farmers, and is now also an award-winning hydro-electric power station."
5012044,Gundagai rail bridge over Murrumbidgee River,"The rail bridge at Gundagai over the Murrumbidgee is a spectacular latticework of wooden trusses, gracefully curving across the flood plains and spanning the River. Well worth a look!"
5012048,Guyra Railway Station group,"Guyra Railway Station now houses a fascinating glimpse of a time gone by. The Guyra Antique Machinery Museum displays the evolution of farm machinery from horse-drawn to rubber-tyred tractors. In this day of automation, the chaff cutters, water pumps and sheep shearing plants will remind you of the hard work our agricultural pioneers endured."
5012051,Hawkesbury River Railway Station group,"You will be taken with the charm of the Hawkesbury River railway station, whether travelling past, through or alighting from the train."
5012054,Helensburgh Railway Station group,"You will be taken with the charm of Helensburgh Railway Station, whether travelling past, through or alighting from the train."
5012056,Homebush Railway Station group,"You will be taken with the charm of Homebush Railway Station, whether travelling past, through or alighting from the train."
5012059,"Junee Railway Station, yard, locomotive depot","The Junee Roundhouse Museum gives you access to a rare working roundhouse turntables. The turntalble is one of the largest reaching 30 metres. The museum also houses a number of items you cannot see anywhere else in Australia, for example, the only working steam driven accident crane. Another unique item is the mail carriage - the internal arrangements meant mail could be sorted in transit! The roundhouse is still actively engaged in its original purpose. While one half is a museum, the other still operates as a railway refit workshop."
5012061,Katoomba Railway Station and yard group,"On your way out of the station, enjoy the offerings of Katoomba pause and admire the timber buildings, a remnant of what the line from Redfern and Homebush once looked like."
5012068,Goulburn railway group movable relics,Goulburn Roundhouse Preservation Society in the Goulburn Rail Heritage Centre offers you to the opportunity to examine: *  Heritage Rail Workshop (Open for inspection)  *  Steam Locomotive. Veteran Diesel locomotives and rolling stock under  restoration. *  Roundhouse opened 1918. Closed by State Rail in 1986. Services all classes of steam locomotives.
5012075,Armidale Railway Station and yard group movable relics,Discover the men behind the Great North Railway line at the Armidale Railway Museum. View the tools and implements used by the railwaymen of old while you explore the charming railway buildings. You can arrive in style on a heritage train provided by Heritage Express for an authentic entrance to the Station.
5012076,Lawson Railway Station Group,"Rail buffs can still find remnants of the freight yard, but even if you have little interest in railway stations you will admire the landmark Lawson Railway Station."
5012085,Yanco Weir and site,"The 1929 Yanco Weir is one of the earliest weirs built on the Murrumbidgee River to regulate the flow of water to the Murrumbidgee Irrigation Area. Today it is a beautiful picnic, BBQ, fishing or boating spot with facilities available."
5012091,"Gogeldrie Weir, near Narrandera","Everyone agrees that the Gogeldrie Weir is a delightful picnic spot, with well appointed facilities including a sealed access road and BBQs. This major irrigation structure is not only functional, it is also beautiful and provides a fishing and swimming spot."
5012093,Maitland Railway Station and yard group,Travel through the historic Maitland Railway Station on a Heritage Express tour or stop and admire the landmark station on your way through town.
5012096,Marrickville Railway Station group,"You will be taken with the charm of Marrickville Railway Station, whether travelling past, through or alighting from the train."
5012097,Martin Place Railway Station,"You will be taken with the charm of Martin Place Railway Station, whether travelling past, through or alighting from the train."
5012099,Meadowbank Rail Bridge over Parramatta River,The Paramatta River Railway Bridge at Meadowbank has been converted for pedestrian and cycle use. The case iron bridge was built in 1886 and today provides a link between the Ryde district and Homebush Bay.
5012100,Medlow Bath Railway Station group,"The heritage listed gatehouse is a self-contained sandstone railway cottage, now privately owned, providing self-catering accommodation for short breaks or longer. It is an easy stroll to Medlow Bath railway station. Medlow Bath is situated midway between the famous lookouts, walks, and tourist attractions of Katoomba and Blackheath, the perfect location to visit all."
5012103,Michelago Railway Station group,"The Michelago Railway Station was, for a short time, the terminus for the line from Canberra. A group of dedicated volunteers are busy repairing the line to allow trains to once again travel through the station."
5012104,Michelago rail bridge over Ingalara Creek,"An impressive timber structure of Queen post trusses, the Ingalara viaduct is accessible from the Monaro Highway. The ACT branch of the Australian Railway Historical Society is currently restoring the bridge to allow trains to once again traverse this viaduct. Have a look at their website to check their progress. In the meantime they run other steam train journeys in the area, which are very popular. The Cooma Railway made a significant contribution to the development of the Monaro Region from the time of its construction 1887-89, and all the timber viaducts were important items of the railway's infrastructure."
5012106,Milsons Point Railway Station group,"You will be taken with the charm of Milsons Point railway station, whether travelling past, through or alighting from the train."
5012107,Mittagong Railway Station and yard group,"You will be taken with the charm of Mittagong railway station, whether travelling past, through or alighting from the train."
5012108,Molong Railway Station and yard group,"Visit the Molong Historical Museum, housed in the railway station, to satisfy your curiosity regarding Molong's interesting history."
5012110,Moss Vale Railway Station and yard group,Travel through the historic Moss Vale railway station on a Heritage Express tour or stop and admire the landmark station on your way through town.
5012115,"Mudgee Railway Station, yard and locomotive yard","The hustle and bustle of the Mudgee railway station has been replaced with a relaxed restaurant, lounge and bar experience. Have a drink on the platform and enjoy a fine dining experience or sample some of the local wines in the lounge."
5012116,Murrurundi Railway Station group,Travel thought the historic Murrurundi railway station on a Heritage Express tour or stop and admire the landmark station on your way through town.
5012118,Muswellbrook Railway Station and yard group,Travel through the historic Muswellbook Railway Station on a Heritage Express tour or stop and admire the landmark station on your way through town.
5012123,Newtown Railway Station group and Former Newtown Tramway Depot,"You will be taken with the charm of Newtown railway station, whether travelling past, through or alighting from the train."
5012124,Oatley Railway Station group,"You will be taken with the charm of Oatley railway station, whether travelling past, through or alighting from the train."
5012125,Oberon Railway Station group,"Oberon railway station is now the focus of an outdoor museum. Inside the station are displays about the beginnings of the town, while outside one of the most popular attractions are the two railway carriages. Here you can also explore settlers huts, a working blacksmiths shop and many piece of fascinating machinery rarely seen today."
5012129,Parkes Railway Station group,Daily coach and rail passenger services are operated by Country Link between Parkes and Sydney. Services are also available to Canberra.
5012132,Penrith Railway Station group,"You will be taken with the charm of Penrith railway station, whether travelling past, through or alighting from the train."
5012133,Petersham Railway Station group,"You will be taken with the charm of Petersham railway station, whether travelling past, through or alighting from the train."
5012134,Picton Railway Station group,Travel thought the historic Picton railway station on a Heritage Express tour or stop and admire the landmark station on your way through town.
5012147,Maitland Correctional Centre,"Serve some time discovering the Maitland Gaol, hear stories of prisoners and daring escapes. You can guide yourself around the goal, but for a more complete experience take a themed tour and let the guides interpret this facility for you. The Torch Light tours are also popular. Choose between the History and Facts, the Ex-Inmate and Psychic tours, but don't forget your torch!"
5012149,Queanbeyan Railway Station group,"Queanbeyan railway station is used by two operators, CountryLink and the ACT Branch of Australian Railway Historical Society. Enjoy the authentic experience by taking the steam and diesel tours from the station to Royalla, Canberra and Sydney run by the historical society."
5012154,Redfern Railway Station group,"You will be taken with the charm of Redfern railway station, whether travelling past, through or alighting from the train."
5012211,Rydal Railway Station group,"The charming Gothic Rydal Station Master's Residence has been converted into a small, self contained accommodation. Still a working train station, you can step off the train to your front door! With a coal fire to warm you and the beautiful Rydal area to explore a weekend at the Rydal Station Master's Residence is the perfect short getaway."
5012213,Rylstone Railway Station and yard group,"Heritage Express runs tours to the beautiful timber Rylstone railway station, where you can browse the Rylstone-Kandos Art & Craft Co-Op, located in the railway station buildings."
5012219,Springwood Railway Station Group,Pause and admire the unusual stone sailway station at Springwood.
5012220,St. James Railway Station group,"The beautiful art deco St James station brings shoppers into the heart of Sydney's retail district today as it did when it opened in 1920s. Back then you were at the door of Gowings, Farmers and David Jones. Today David Jones is still there and Farmer's has become Myer. Admire the historic underground platform and the photos on the walls. St James is the starting point for the City of Sydney Commerce walking tour."
5012230,Sydney Terminal and Central Railway Stations Group,"If you are taking public transport during your stay in Sydney, you will undoubtedly pass through Central Station. with all its hustle and bustle, the historic station is on the State Heritage Register for the importance it holds to thousands of commuters every day."
5012235,"Tamworth Railway Station, yard group and movable relics",Travel through the elaborate Tamworth railway station on a Heritage Express tour or stop and admire the landmark station on your way through town.
5012245,The Rock Station and yard group,"The Rock railway station is now the home of ""Trackside Collectibles"" Antiques and Crafts. The proprietors of Trackside maintain a delightful collection of antiques and crafts for purchase."
5012252,Uralla Railway Station group,Travel through the historic Uralla railway station on a Heritage Express tour or stop and admire the landmark station on your way through town.
5012253,Valley Heights Railway Station and Locomotive Depot,"Explore the oldest remaining roundhouse in NSW and witness restoration works being carried out on tram and rail exhibits. Take a short ride on a steam train and view the model railway layout.  Locomotives to see include Standard Goods Steam Engine 5461, and the 46 Class Electric Locomotive 4601. Local history and photographic displays, plus a large collection of books, videos and souvenir items are also available. Barbeque facilities are available or relax with a cup of tea or coffee and cake in the tea rooms."
5012257,Wagga Wagga Railway Station and yard group,The Wagga Wagga railway station has been converted into the Wagga Steam And Vintage Engine Museum. It is well worth a few hours to explore these fascinating machines.
5012258,Wahroonga Railway Station group,"You will be taken with the charm of Wahroonga railway station, whether travelling past, through or alighting from the train."
5012259,Walcha Road Railway Station and yard group,Travel through the historic Walcha railway station on a Heritage Express tour or stop and admire the landmark station on your way through town.
5012260,Wallerawang Railway Station and yard group,
5012287,"Werris Creek Railway Station, yard group and movable relics",Travel through the historic Werris Creek Railway Station on a Heritage Express tour or stop and admire the landmark station on your way through town. Werris Creek is now also home to the Australian Railway Monument.
5012289,Windsor Railway Station Group and Former Goods Yard,"You will be taken with the charm of Windsor railway station, whether travelling past, through or alighting from the train."
5012295,Yass Town Railway Station and yard group,"When the rail line was constructed it passed right by Yass, so Yass residents had a short line or tramway constructed to link the two. It is the state's most unusual railway line and the station building has been renovated to tell its story. It boasts the shortest platform in Australia. Refreshments and souvenirs are available at the Museum."
5014091,Blue Mountains Walking tracks,"Enjoy the beauty of the Blue Mountains by taking a walk through the forests. Discover the diversity of the area as you travel through both natural landscapes and those shaped by human occupation. There is a walk to tempt everyone - from a gentle stroll to the Blue Pool, a more difficult climb to see the Aboriginal hand paintings or the challenging Wentworth Falls track. The Blue Mountains are waiting to be explored by you."
5014092,Hartley Historic Site,"Hartley is a nineteenth century village near the Blue Mountains on the River Lett, rich with 17 historical buildings from the 1837 Greek Revival courthouse to the timber and iron Corneys Garage built in 1945. Buildings are scattered amongst pastures, orchards, native vegetation and the remnants of nineteenth and twentieth century cottage gardens. The village survives as a substantial and well-preserved remnant of one of the first rural settlements west of the Blue Mountains, one which played an essential role in the development of inland Australia."
5014093,Willandra Homestead,"Willandra Homestead and the adjacent Cottage and Men's Quarters are available for hire. The Homestead itself has 26 rooms and can be rented by the room or you can have the entire place to yourself. The Men's Quarters is a great location for camps of up to 24 people, with communal facilities. The 1945 Cottage is self-contained and sleeps eight people.  All three options have hot showers and flushing toilets. Cooking and eating utensils are also provided.  With a base in the National Park, you are free to explore all it has to offer. From the history of the wool industry instilled in the homestead and outbuildings to the natural beauty you can discover bushwalking,  picnicking, bicycling, fishing or canoeing."
5014094,Cattai Estate,"This park is in two separate sections. The Cattai Farm area, originally a land grant made to First Fleet assistant surgeon Thomas Arndell, features Arndell's 1821 cottage, historic grain silos and ruins of a windmill believed to be the oldest industrial building in NSW. Grassy picnic areas, barbecues and shelter sheds are provided beside the Hawkesbury River, and car-based camping is available year-round (bookings required)."
5014095,Currango Homestead,"Escape the hustle and bustle of life and enjoy the simple pleasures of life at Currango Homestead. Nestled amongst snow gums on the edge of the Currango Plains, the Homestead provides a chance to simply enjoy the serenity or a base to explore the countryside on one of 12 walks leaving the homestead, fish in mountain streams or reservoirs or visit Yarrangobilly limestone caves."
5014096,Barrenjoey Head Lightstation,"Dating from 1881, the Barrenjoey Lighthouse is a beautiful structure of local Pittwater sandstone. During stormy weather, the lighthouse guided ships bringing coal from Newcastle into the safety of Broken Bay and Pittwater. The location of the lighthouse commands a expansive water views and makes a great day's outing."
5014097,Montague Island Lightstation,"The Montague Island lighthouse has operated since 1880, automated since 1987. National Parks and Wildlife now manages the island, protecting the significant breeding colonies of seals, little penguins and flocks of seabirds. The surrounding waters are home to dolphins, turtles, humpback and other whales. Rangers can take you on a tour of the island, introducing you to the natural beauty, as well as stories of lighthouse drama, compassion and romance."
5014098,Glenrock early coalmining sites,"Glenrock State recreation area has a fine series of beaches beneath a large headland.  Swim and Surf at Dudley or Burwood Beaches or try the Yuelabah walking track to Glenrock Lagoon. The recreation area protects the last of the Newcastle Region's rainforest. Activities available include rock and surf fishing, bushwalking, hang-gliding, swimming and surfing. Picnic areas include barbecues."
5014099,Kiandra Courthouse/Chalet,"A ghost town since 1974, Kiandra is now open to you. The town was settled after gold was discovered in the area, but it became better known for its skiing. A sign-posted walk can show you all the highlights, including the court house/chalet. As the birth place of Australian skiing, the Chalet was an important focus in the town and much more inviting than the court house!"
5014100,Matthews Cottage,"A ghost town since 1974, Kiandra is now open to you. The town was settled after gold was discovered in the area, but it became better known for its skiing. A sign-posted walk can show you all the highlights, including the quaint Matthew's Cottage. Built with weatherboard walls and an iron gabled roof by the Foley family, this modest three-bedroom cottage is believed to date from before 1906."
5014102,Albert Goldfield/Warratta Town (within Sturt National Park),The Albert Goldfield changed the northwest of New South Wales forever. It was the first mine to tap into the arid country mineral fields of Australia and as such paved the way for the mineral exploration of the Australian interior. The technologies for arid country goldmining originated on the Albert Goldfield. Today the abandoned site can be visited within the Sturt National Park.
5014103,Bantry Bay Explosives Depot,"The Bantry Bay Explosives Depot is located in Garigal National Park. The depot was used to store explosives in case of enemy attack from 1908 until its closure in 1974. The complex of buildings and magazines are still there for you to explore. The military order of the depot is slowly returning to bushland, a place to wander through in unhurried leisure."
5014148,Gondwana Rainforests of Australia,"The spectacular world heritage listed North East Rainforests is found along the Great Escarpment on Australia's eastern coast. Featuring outstanding geological features around shield volcanic craters and a high number of rare and threatened rainforest species, the site is internationally significant for science and conservation. Visit any one of the following national parks and natural reserves to experience the natural beauty of the North East Rainforest World Heritage Area: * Mount Royal National Park * Barrington Tops National Park * Mount Seaview Nature Reserve * Werrikimbe National Park * Willi Willi National Park * Oxley Wild Rivers National Park * The Castles Nature Reserve * Cunnawarra National Park * New England National Park * Dorrigo National Park * Mount Hyland National Park * Gibraltar Range National Park * Washpool National Park * Iluka Nature Reserve * Mallanganee National Park * Richmond Range National Park * Toonumbar National Park * Captains Creek Nature Reserve * Nightcap National Park * Tooloom National Park * Border Ranges National Park * Mount Warning National Park * Mount Nothofagus National Park * Amaroo Nature Reserve * Mount Clunie National Park * Limpinwood Nature Reserve * Koreelah National Park * Gambubal State Forest * Mount Chinghee National Park * Mount Barney National Park * Lamington National Park"
5014150,Hillview,"Originally built in the 1850s, Hillview was the country retreat for the governors of NSW between 1882 and 1958. In 1986, after spending some time in private hands, Hillview was again purchased by the government. Set in over 60 hectares, Hillview is an eclectic mix of architectural styles, creating a very unusual house. It is now open occasionally to the public. The Southern Highlands Visitors' Centre can give you more information."
5014175,Nyngan Court House,When in Nyngan take a turn past the court house and admire the attractive Arts and Crafts style building. The court house is surrounded by a charming section of preserved historic streetscapes.
5014211,Bradman Oval and Collection of Cricket Memorabilia,"Sir Donald Bradman is an Australian legend, renowned for finishing his career with a batting average of 99.94. The Bradman foundation is dedicated to the preservation of Australia's cricketing history and the museum is sure to teach even the biggest cricket fan something about Australia's national sports."
5044690,Saraton Theatre,"Enjoy a movie in style! The Saraton Theatre was built at Grafton in 1926. In 1940, it was refurbished in the late Art Deco style. It's a splendid reminder of the hey-day of cinema when movie going was extremely popular with all members of the community. Today, it remains a magnificent icon of unaltered picture theatre dating back to the 1920's. The Saraton Theatre is indeed a rare gem of great historical significance."
5044708,Wing Hing Long & Co. Store,Wing Hing Long & Company's store in Tinga is a long way from China Town. This little store has been turned into a museum to raise awareness of the contribution of the Chinese to the rural communities of New South Wales.
5044733,Amusu Theatre,Visit Australia's oldest operational picture theatre! Opened in 1936 you can still enjoy a new release movie in Art Deco surrounds. The theatre also holds a collection of memorabilia that will evoke rural New South Wales in the mid twentieth century.
5044737,Bourke Post Office,"Pick up a Mud Map Tour brochure and discover a variety of ways to navigate the area in and around Bourke ­ one of New South Wales' most important inland towns. Wool, cotton and citrus growing map out this area, located almost 800 kilometres from Sydney on the Darling River. Amongst the many historic buildings worth a visit in Bourke are the court house, police station and the old Carriers Arms Hotel on the Mitchell Highway where, it is alleged, bush balladeer Henry Lawson penned some of his stories."
5044754,Inverell Post Office,"The Inverell post office is a rare and beautiful Arts and Crafts building. The work of colonial architect Walter Liberty Vernon, it was completed in 1904 and was vital in the communications network for the region"
5044800,Wynstay Estate,"After visiting the Turkish Bath Museum and discovering the history of Wynstay Estate and the Mount Wilson area, relax in the enticing gardens and beautiful rainforest."
5044965,Blue Mountains College of TAFE Archaeological Site,blue
